avgdepth_m	avg_density
0.506810443	0.336393941
1.507176378	0.351635076
2.504609462	0.358424381
3.502748626	0.378568476
4.501959504	0.375383716
5.50256328	0.395173806
6.50562135	0.415722338
7.507890834	0.430567692
8.507814646	0.443661637
9.509826807	0.478270958
10.50859052	0.494260344
11.50596923	0.49724764
12.50655275	0.508539802
13.50655275	0.528498134
14.5081038	0.528710829
15.50934488	0.546524364
16.50783792	0.551953813
17.50533277	0.569661931
18.50691163	0.5784034850000001
19.50899775	0.589049033
20.50775793	0.597989721
21.50393272	0.61457682
22.50550561	0.616674799
23.50647366	0.63602159
24.50229519	0.643870076
25.50597165	0.659459337
26.509438	0.67398484
27.50491449	0.682494744
28.50151194	0.695840675
29.50403641	0.706123066
30.50530249	0.724824998
31.50362371	0.737756383
32.50737213	0.747826825
33.50737621	0.7619921670000001
34.50405645	0.76803076
35.50941341	0.783693884
36.50898817	0.791390904
37.50362985	0.7995819749999999
38.50981682	0.805276802
40.00405153	0.819556341
40.99987852	
41.50936669	0.831503278
42.50566119	0.8401919920000001
43.50193696	0.8450890559999999
44.50447239	0.855236763
45.51067017	0.861572035
46.5098297	0.867165666
47.997912	0.867057377
49	
49.50702744	0.8778876289999999
52.01335241	
53.50297042	0.889728997
54.5019364	0.891142494
55.50157208	0.891092132
56.50818437	0.893609784
57.5079735	0.895377765
58.50450224	0.897366329
59.50557533	0.897369653
60.50516524	0.898017645
61.50637095	0.899769156
62.50431558	0.904195168
63.50258535	0.905095022
64.50526254	0.905187446
65.51226667	0.905602592
69.00566909	
72.0043088	
72.02070616	
72.03710353	0.9059543329999999
72.0535009	0.906711193
72.06989826	0.908295361
72.53932140000001	0.9093551050000001
73.50060679000001	0.9101433370000001
76.50230044	
77.50959356	0.912083022
78.50893739	0.911966454
79.50231284	0.911846109
